index,dwarf_name,dwarf_distance,dwarf_mass,dwarf_radius,star_name,star_distance,star_mass,star_radius
75,2MASS J09490860-1545485 [de],59.0,0.046774812,0.0986524799999999,II Pegasi,0130,0.8,3.4
76,2MASS J10073369-4555147,46.0,0.042001872,0.0965972199999999,VY Canis Majoris,"03,900",17,"1,420"
77,2MASSI J1010148-040649 [de],55.0,0.048683988,0.1007077399999999,Pistol Star,"025,000",100,320
78,2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999,S Doradus,"0169,000",24,380
79,2MASSW J1036530-344138 [de],53.0,0.046774812,0.0996801099999999,UY Scuti,"05,100",7–10,755
80,2MASS J1047538+212423 [de],34.4,0.040092696,0.0965972199999999,Barnard's Star,05.98,0.14,0.20
81,DEN 1048-3956,13.15,0.073503276,0.10995641,Luhman 16,06.52,0.04,?
82,Luhman 16B,6.516,0.041047284,0.10481826,Proxima Centauri,04.25,0.12,0.15
83,Luhman 16A,6.516,0.03818352,0.10379063,KIC 8462852,"01,470",1.43,1.58
84,DENIS-P J1058.7−1548,49.0,0.061093632,0.102763,R136a1,"0163,000",290,32
85,TWA 28,180.0,0.034365168,0.24560357,Melnick 42,"0163,000",189,21.1
86,Cha 110913-773444,163.0,0.007636704,0.1849733999999999,WR 102,"018,134",19,0.39
87,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,VFTS 352,"0164,000",57.48,14.47
88,2MASS J11145133−2618235,18.2,0.031501404,0.0986524799999999,YBP 1194,"02,772",1.01,0.99
89,TWA 26,137.0,0.02863764,0.2260786,Gliese 1214,047.5,0.16,0.21
90,2MASS J11544223-3400390 [de],129.0,0.035319756,0.1541445,NML Cygni,"05,251",50,"1,640 - 2,770"
91,2MASSW J1155395-372735 [de],31.0,0.061093632,0.102763,VB 10,018.72,0.075,0.10
92,2MASS J12074836-3900043,217.0,0.016227996,0.17572473,WOH G64,"0163,000",<20,"1,540 - 1,730"
93,2MASSI J1217110-031113 [de],36.0,0.040092696,0.0965972199999999,TRAPPIST-1,039.6,0.089,0.12
94,2M 1237+6526,45.6,0.039138108,0.0965972199999999,2MASS J0523-1403,040.3,0.07,0.086
95,TWA 29,262.0,0.0238647,0.205526,WISE 0855−0714,07.27,0.003,?
96,SDSSp J125453.90-012247.4 [de],38.0,0.044865636,0.1007077399999999,Icarus,"014,400,000,000",33,?
